Year,Rank,Rider,Time,Team
1998,61,Laurent Desbiens (FRA),"+ 1h 56' 28""",Cofidis
1998,62,Erik Zabel (GER),"+ 1h 56' 57""",Team Telekom
1998,63,Léon van Bon (NED),"+ 1h 57' 30""",Rabobank
1998,64,Paul Van Hyfte (BEL),"+ 1h 58' 02""",Lotto–Mobistar
1998,65,Jacky Durand (FRA),"+ 1h 59' 42""",Casino–Ag2r
1998,66,Christophe Mengin (FRA),"+ 2h 00' 35""",Française des Jeux
1998,67,Frédéric Guesdon (FRA),"+ 2h 05' 08""",Française des Jeux
1998,68,Wilfried Peeters (BEL),"+ 2h 06' 16""",Mapei–Bricobi
1998,69,Rik Verbrugghe (BEL),"+ 2h 06' 17""",Lotto–Mobistar
1998,70,Magnus Bäckstedt (SWE),"+ 2h 08' 30""",GAN
1998,71,Eddy Mazzoleni (ITA),"+ 2h 10' 19""",Saeco Macchine per Caffè
1998,72,Fabiano Fontanelli (ITA),"+ 2h 11' 37""",Mercatone Uno–Bianchi
1998,73,Stefano Zanini (ITA),"+ 2h 12' 11""",Mapei–Bricobi
1998,74,Alain Turicchia (ITA),"+ 2h 14' 12""",Asics–CGA
1998,75,Mirko Crepaldi (ITA),"+ 2h 15' 05""",Team Polti
1998,76,Diego Ferrari (ITA),"+ 2h 15' 46""",Asics–CGA
1998,77,Xavier Jan (FRA),"+ 2h 15' 51""",Française des Jeux
1998,78,Pascal Lino (FRA),"+ 2h 16' 13""",BigMat–Auber 93
1998,79,Fabio Roscioli (ITA),"+ 2h 17' 53""",Asics–CGA
1998,80,Christian Henn (GER),"+ 2h 19' 52""",Team Telekom
1998,81,Viatcheslav Djavanian (RUS),"+ 2h 21' 31""",BigMat–Auber 93
1998,82,Rossano Brasi (ITA),"+ 2h 22' 10""",Team Polti
1998,83,Jens Voigt (GER),"+ 2h 25' 14""",GAN
1998,84,Pascal Deramé (FRA),"+ 2h 26' 25""",U.S. Postal Service
1998,85,Tom Steels (BEL),"+ 2h 26' 30""",Mapei–Bricobi
1998,86,Eros Poli (ITA),"+ 2h 31' 56""",GAN
1998,87,Alexei Sivakov (RUS),"+ 2h 33' 19""",BigMat–Auber 93
1998,88,Aart Vierhouten (NED),"+ 2h 35' 06""",Rabobank
1998,89,Robbie McEwen (AUS),"+ 2h 36' 32""",Rabobank
1998,90,Paolo Fornaciari (ITA),"+ 2h 37' 50""",Saeco Macchine per Caffè
1998,91,Massimiliano Mori (ITA),"+ 2h 38' 12""",Saeco Macchine per Caffè
1998,92,Bart Leysen (BEL),"+ 2h 39' 43""",Mapei–Bricobi
1998,93,Francesco Frattini (ITA),"+ 2h 43' 16""",Team Telekom
1998,94,Franck Bouyer (FRA),"+ 2h 43' 45""",Française des Jeux
1998,95,Mario Traversoni (ITA),"+ 2h 44' 42""",Mercatone Uno–Bianchi
1998,96,Damien Nazon (FRA),"+ 3h 12' 15""",Française des Jeux
1999,1,Lance Armstrong (USA)[a],"91h 32' 16""",U.S. Postal Service
1999,2,Alex Zülle (SUI),"+ 7' 37""",Banesto
1999,3,Fernando Escartín (ESP),"+ 10' 26""",Kelme–Costa Blanca
1999,4,Laurent Dufaux (SUI),"+ 14' 43""",Saeco Macchine per Caffè–Cannondale
1999,5,Ángel Casero (ESP),"+ 15' 11""",Vitalicio Seguros
1999,6,Abraham Olano (ESP),"+ 16' 47""",ONCE–Deutsche Bank
1999,7,Daniele Nardello (ITA),"+ 17' 02""",Mapei–Quick-Step
1999,8,Richard Virenque (FRA),"+ 17' 28""",Team Polti
1999,9,Wladimir Belli (ITA),"+ 17' 37""",Festina–Lotus
1999,10,Andrea Peron (ITA),"+ 23' 10""",ONCE–Deutsche Bank
1999,11,Kurt Van De Wouwer (BEL),"+ 23' 32""",Lotto–Mobistar
1999,12,David Etxebarria (ESP),"+ 26' 41""",ONCE–Deutsche Bank
1999,13,Tyler Hamilton (USA),"+ 26' 53""",U.S. Postal Service
1999,14,Stéphane Heulot (FRA),"+ 27' 58""",Française des Jeux
1999,15,Roland Meier (SUI),"+ 28' 44""",Cofidis
1999,16,Benoit Salmon (FRA),"+ 28' 59""",Casino–Ag2r Prévoyance
1999,17,Alberto Elli (ITA),"+ 33' 39""",Team Telekom
1999,18,Paolo Lanfranchi (ITA),"+ 34' 14""",Mapei–Quick-Step
1999,19,Carlos Contreras (COL),"+ 34' 53""",Kelme–Costa Blanca
1999,20,Georg Totschnig (AUT),"+ 37' 10""",Team Telekom
1999,21,Mario Aerts (BEL),"+ 39' 21""",Lotto–Mobistar
1999,22,Giuseppe Guerini (ITA),"+ 39' 29""",Team Telekom
1999,23,Gianni Faresin (ITA),"+ 40' 28""",Mapei–Quick-Step
1999,24,Álvaro González de Galdeano (ESP),"+ 43' 39""",Vitalicio Seguros
1999,25,Marcos Antonio Serrano (ESP),"+ 45' 03""",ONCE–Deutsche Bank
1999,26,Francisco Tomas García (ESP),"+ 45' 31""",Vitalicio Seguros
1999,27,Christophe Moreau (FRA),"+ 45' 34""",Festina–Lotus
1999,28,Francisco Mancebo (ESP),"+ 50' 31""",Banesto
1999,29,Luis Perez (ESP),"+ 52' 53""",ONCE–Deutsche Bank
1999,30,François Simon (FRA),"+ 53' 21""",Crédit Agricole
1999,31,Armin Meier (SUI),"+ 1h 00' 10""",Saeco Macchine per Caffè–Cannondale
1999,32,Stefano Garzelli (ITA),"+ 1h 00' 45""",Mercatone Uno–Bianchi
1999,33,Javier Pascual Rodríguez (ESP),"+ 1h 01' 20""",Kelme–Costa Blanca
1999,34,Massimiliano Lelli (ITA),"+ 1h 01' 27""",Cofidis
1999,35,Alexander Vinokourov (KAZ),"+ 1h 02' 23""",Casino–Ag2r Prévoyance
1999,36,Kevin Livingston (USA),"+ 1h 06' 10""",U.S. Postal Service
1999,37,José Castelblanco (COL),"+ 1h 08' 05""",Kelme–Costa Blanca
1999,38,Salvatore Commesso (ITA),"+ 1h 09' 15""",Saeco Macchine per Caffè–Cannondale
1999,39,César Solaun (ESP),"+ 1h 10' 01""",Banesto
1999,40,Udo Bölts (GER),"+ 1h 11' 51""",Team Telekom
1999,41,Steve De Wolf (BEL),"+ 1h 11' 54""",Cofidis
1999,42,Frédérick Bessy (FRA),"+ 1h 15' 26""",Casino–Ag2r Prévoyance
1999,43,Miguel Ángel Peña (ESP),"+ 1h 19' 26""",Banesto
1999,44,Laurent Madouas (FRA),"+ 1h 20' 42""",Festina–Lotus
1999,45,Geert Verheyen (BEL),"+ 1h 23' 24""",Lotto–Mobistar
1999,46,José Luis Arrieta (ESP),"+ 1h 24' 29""",Banesto
1999,47,Francisco Javier Cerezo (ESP),"+ 1h 26' 50""",Vitalicio Seguros
1999,48,Thierry Bourguignon (FRA),"+ 1h 27' 43""",BigMat–Auber 93
1999,49,Manuel Fernández (ESP),"+ 1h 30' 20""",Mapei–Quick-Step
1999,50,Mariano Piccoli (ITA),"+ 1h 31' 21""",Lampre–Daikin
1999,51,Lylian Lebreton (FRA),"+ 1h 32' 51""",BigMat–Auber 93
1999,52,Jean-Cyril Robin (FRA),"+ 1h 33' 14""",Française des Jeux
1999,53,Marco Fincato (ITA),"+ 1h 36' 57""",Mercatone Uno–Bianchi
1999,54,Jon Odriozola (ESP),"+ 1h 41' 55""",Banesto
1999,55,Marco Serpellini (ITA),"+ 1h 42' 04""",Lampre–Daikin
1999,56,Michael Boogerd (NED),"+ 1h 42' 22""",Rabobank
1999,57,Fabian Jeker (SUI),"+ 1h 42' 25""",Festina–Lotus
1999,58,Rafael Díaz (ESP),"+ 1h 43' 36""",ONCE–Deutsche Bank
1999,59,José Javier Gomez (ESP),"+ 1h 45' 50""",Kelme–Costa Blanca
1999,60,Jens Voigt (GER),"+ 1h 47' 47""",Crédit Agricole
1999,61,Santos González (ESP),"+ 1h 48' 21""",ONCE–Deutsche Bank
1999,62,Dmitri Konychev (RUS),"+ 1h 49' 10""",Mercatone Uno–Bianchi
1999,63,Peter Farazijn (BEL),"+ 1h 55' 01""",Cofidis
1999,64,Hernán Buenahora (COL),"+ 1h 55' 33""",Vitalicio Seguros
1999,65,Frankie Andreu (USA),"+ 1h 59' 01""",U.S. Postal Service
1999,66,Stefano Cattai (ITA),"+ 1h 59' 49""",Team Polti
1999,67,Christophe Oriol (FRA),"+ 2h 01' 06""",Casino–Ag2r Prévoyance
1999,68,José Vicente Garcia (ESP),"+ 2h 01' 46""",Banesto
1999,69,Fabrice Gougot (FRA),"+ 2h 02' 05""",Casino–Ag2r Prévoyance
1999,70,Christophe Mengin (FRA),"+ 2h 04' 03""",Française des Jeux
1999,71,Rik Verbrugghe (BEL),"+ 2h 04' 31""",Lotto–Mobistar
1999,72,Marc Lotz (NED),"+ 2h 08' 08""",Rabobank
1999,73,Steffen Wesemann (GER),"+ 2h 09' 22""",Team Telekom
1999,74,Stéphane Goubert (FRA),"+ 2h 10' 58""",Team Polti
1999,75,José Luis Rebollo (ESP),"+ 2h 12' 57""",ONCE–Deutsche Bank
1999,76,Prudencio Induráin (ESP),"+ 2h 14' 15""",Vitalicio Seguros
1999,77,Laurent Brochard (FRA),"+ 2h 14' 42""",Festina–Lotus
1999,78,George Hincapie (USA),"+ 2h 16' 35""",U.S. Postal Service
1999,79,Christophe Rinero (FRA),"+ 2h 16' 35""",Cofidis
1999,80,Jörg Jaksche (GER),"+ 2h 16' 44""",Team Telekom
1999,81,Giampaolo Mondini (ITA),"+ 2h 17' 34""",Cantina Tollo–Alexia Alluminio
1999,82,Gilles Maignan (FRA),"+ 2h 18' 02""",Casino–Ag2r Prévoyance
1999,83,Cédric Vasseur (FRA),"+ 2h 18' 23""",Crédit Agricole
1999,84,Maarten den Bakker (NED),"+ 2h 19' 03""",Rabobank
1999,85,Christian Vande Velde (USA),"+ 2h 23' 58""",U.S. Postal Service
1999,86,Javier Otxoa (ESP),"+ 2h 24' 14""",Kelme–Costa Blanca
1999,87,Riccardo Forconi (ITA),"+ 2h 25' 02""",Mercatone Uno–Bianchi
1999,88,Laurent Lefèvre (FRA),"+ 2h 25' 08""",Festina–Lotus
1999,89,Erik Zabel (GER),"+ 2h 26' 01""",Team Telekom
1999,90,Dominique Rault (FRA),"+ 2h 27' 17""",BigMat–Auber 93
1999,91,Pascal Chanteur (FRA),"+ 2h 28' 00""",Casino–Ag2r Prévoyance
1999,92,Elio Aggiano (ITA),"+ 2h 28' 33""",Vitalicio Seguros
1999,93,Alexei Sivakov (RUS),"+ 2h 29' 40""",BigMat–Auber 93
1999,94,Stuart O'Grady (AUS),"+ 2h 30' 07""",Crédit Agricole
1999,95,Massimo Giunti (ITA),"+ 2h 30' 25""",Cantina Tollo–Alexia Alluminio
1999,96,Thierry Gouvenou (FRA),"+ 2h 32' 11""",BigMat–Auber 93
1999,97,Patrick Jonker (AUS),"+ 2h 32' 20""",Rabobank
1999,98,David Navas (ESP),"+ 2h 33' 31""",Banesto
1999,99,Fabio Sacchi (ITA),"+ 2h 33' 39""",Team Polti
1999,100,Laurent Desbiens (FRA),"+ 2h 34' 01""",Cofidis
1999,101,José Angel Vidal (ESP),"+ 2h 34' 22""",Kelme–Costa Blanca
1999,102,Jaime Hernández (ESP),"+ 2h 36' 04""",Festina–Lotus
1999,103,Davide Bramati (ITA),"+ 2h 36' 15""",Mapei–Quick-Step
1999,104,Tom Steels (BEL),"+ 2h 36' 28""",Mapei–Quick-Step
1999,105,Anthony Morin (FRA),"+ 2h 36' 37""",Française des Jeux
1999,106,Frédérick Guesdon (FRA),"+ 2h 37' 27""",Française des Jeux
1999,107,Erik Dekker (NED),"+ 2h 38' 05""",Rabobank
1999,108,Fabien De Waele (BEL),"+ 2h 39' 21""",Lotto–Mobistar
1999,109,Beat Zberg (SUI),"+ 2h 39' 29""",Rabobank
1999,110,Kai Hundertmarck (GER),"+ 2h 39' 32""",Team Telekom
1999,111,Ludovic Auger (FRA),"+ 2h 39' 38""",BigMat–Auber 93
1999,112,Peter Wuyts (BEL),"+ 2h 39' 50""",Lotto–Mobistar
1999,113,Marco Pinotti (ITA),"+ 2h 40' 00""",Lampre–Daikin
1999,114,Silvio Martinello (ITA),"+ 2h 43' 14""",Team Polti
1999,115,Christophe Capelle (FRA),"+ 2h 45' 17""",BigMat–Auber 93
1999,116,Lars Michaelsen (DEN),"+ 2h 46' 20""",Française des Jeux
1999,117,Claude Lamour (FRA),"+ 2h 46' 26""",Cofidis
1999,118,Rolf Huser (SUI),"+ 2h 47' 27""",Festina–Lotus
1999,119,Chris Boardman (GBR),"+ 2h 47' 48""",Crédit Agricole
1999,120,Mirko Crepaldi (ITA),"+ 2h 49' 14""",Team Polti
1999,121,Henk Vogels jr (AUS),"+ 2h 49' 17""",Crédit Agricole
1999,122,Robbie McEwen (AUS),"+ 2h 49' 23""",Rabobank
1999,123,Sébastien Hinault (FRA),"+ 2h 51' 03""",Crédit Agricole
1999,124,Sergio Barbero (ITA),"+ 2h 51' 09""",Mercatone Uno–Bianchi
1999,125,Gabriele Colombo (ITA),"+ 2h 51' 43""",Cantina Tollo–Alexia Alluminio
1999,126,Carlos De La Cruz (FRA),"+ 2h 51' 48""",BigMat–Auber 93
1999,127,Rossano Brasi (ITA),"+ 2h 52' 01""",Team Polti
1999,128,Thierry Marichal (BEL),"+ 2h 54' 06""",Lotto–Mobistar
1999,129,Juan José de los Ángeles (ESP),"+ 2h 54' 40""",Kelme–Costa Blanca
1999,130,Sebastien Demarbaix (BEL),"+ 2h 58' 32""",Lotto–Mobistar
1999,131,Marcus Ljungqvist (SWE),"+ 3h 00' 09""",Cantina Tollo–Alexia Alluminio
1999,132,Anthony Langella (FRA),"+ 3h 02' 20""",Crédit Agricole
1999,133,Bart Leysen (BEL),"+ 3h 03' 11""",Mapei–Quick-Step
1999,134,Massimiliano Napolitano (ITA),"+ 3h 05' 09""",Mercatone Uno–Bianchi
1999,135,Pedro Horrillo (ESP),"+ 3h 05' 31""",Vitalicio Seguros
1999,136,Jan Schaffrath (GER),"+ 3h 05' 41""",Team Telekom
1999,137,Luca Mazzanti (ITA),"+ 3h 06' 28""",Cantina Tollo–Alexia Alluminio
1999,138,Alessandro Baronti (ITA),"+ 3h 07' 07""",Cantina Tollo–Alexia Alluminio
1999,139,Thierry Loder (FRA),"+ 3h 11' 55""",Cofidis
1999,140,Pascal Deramé (FRA),"+ 3h 14' 19""",U.S. Postal Service
1999,141,Jacky Durand (FRA),"+ 3h 19' 09""",Lotto–Mobistar
2000,1,Lance Armstrong (USA)[a],"92h 33' 08""",U.S. Postal Service
2000,2,Jan Ullrich (GER),"+ 6' 02""",Team Telekom
2000,3,Joseba Beloki (ESP),"+ 10' 04""",Festina
2000,4,Christophe Moreau (FRA),"+ 10' 34""",Festina
2000,5,Roberto Heras (ESP),"+ 11' 50""",Kelme–Costa Blanca
2000,6,Richard Virenque (FRA),"+ 13' 26""",Team Polti
2000,7,Santiago Botero (COL),"+ 14' 18""",Kelme–Costa Blanca
2000,8,Fernando Escartín (ESP),"+ 17' 21""",Kelme–Costa Blanca
2000,9,Francisco Mancebo (ESP),"+ 18' 09""",Banesto
2000,10,Daniele Nardello (ITA),"+ 18' 25""",Mapei–Quick-Step
2000,11,Manuel Beltrán (ESP),"+ 21' 11""",Mapei–Quick-Step
2000,12,Pascal Hervé (FRA),"+ 23' 13""",Team Polti
2000,13,Javier Otxoa (ESP),"+ 25' 00""",Kelme–Costa Blanca
2000,14,Felix Manuel Garcia (ESP),"+ 32' 04""",Festina
2000,15,Alexander Vinokourov (KAZ),"+ 32' 26""",Team Telekom
2000,16,Roberto Conti (ITA),"+ 34' 18""",Vini Caldirola–Sidermec
2000,17,Kurt Van De Wouwer (BEL),"+ 34' 29""",Lotto–Adecco
2000,18,Guido Trentin (ITA),"+ 35' 57""",Vini Caldirola–Sidermec
2000,19,Jean-Cyril Robin (FRA),"+ 43' 12""",Bonjour
2000,20,Geert Verheyen (BEL),"+ 46' 24""",Lotto–Adecco
2000,21,Peter Luttenberger (AUT),"+ 48' 27""",ONCE–Deutsche Bank
2000,22,Nico Mattan (BEL),"+ 50' 09""",Cofidis
2000,23,José María Jiménez (ESP),"+ 51' 45""",Banesto
2000,24,Grischa Niermann (GER),"+ 52' 06""",Rabobank
2000,25,Tyler Hamilton (USA),"+ 56' 30""",U.S. Postal Service
2000,26,Giuseppe Guerini (ITA),"+ 59' 33""",Team Telekom
2000,27,Massimiliano Lelli (ITA),"+ 1h 06' 05""",Cofidis
2000,28,Mario Aerts (BEL),"+ 1h 06' 44""",Lotto–Adecco
2000,29,Daniel Atienza (ESP),"+ 1h 09' 19""",Saeco Macchine per Caffè–Valli & Valli
2000,30,Dariusz Baranowski (POL),"+ 1h 09' 27""",Banesto
2000,31,Javier Pascual (ESP),"+ 1h 16' 33""",Kelme–Costa Blanca
2000,32,Andrei Kivilev (KAZ),"+ 1h 17' 28""",AG2R Prévoyance
2000,33,David Cañada (ESP),"+ 1h 17' 44""",ONCE–Deutsche Bank
2000,34,Abraham Olano (ESP),"+ 1h 19' 44""",ONCE–Deutsche Bank
2000,35,Laurent Madouas (FRA),"+ 1h 20' 40""",Festina
2000,36,Bo Hamburger (DEN),"+ 1h 21' 33""",Memory Card–Jack & Jones
2000,37,Kevin Livingston (USA),"+ 1h 23' 13""",U.S. Postal Service
2000,38,Enrico Zaina (ITA),"+ 1h 23' 33""",Mercatone Uno–Albacom
2000,39,Marco Velo (ITA),"+ 1h 24' 21""",Mercatone Uno–Albacom
2000,40,Jens Heppner (GER),"+ 1h 29' 51""",Team Telekom
2000,41,Paolo Savoldelli (ITA),"+ 1h 32' 00""",Saeco Macchine per Caffè–Valli & Valli
2000,42,Udo Bölts (GER),"+ 1h 32' 33""",Team Telekom
2000,43,Marc Wauters (BEL),"+ 1h 33' 34""",Rabobank
2000,44,Roland Meier (SUI),"+ 1h 35' 57""",Cofidis
2000,45,Didier Rous (FRA),"+ 1h 39' 55""",Bonjour
2000,46,Marcello Siboni (ITA),"+ 1h 42' 00""",Mercatone Uno–Albacom
2000,47,Jon Odriozola (ESP),"+ 1h 43' 22""",Banesto
2000,48,Bobby Julich (USA),"+ 1h 44' 15""",Crédit Agricole
2000,49,Maarten den Bakker (NED),"+ 1h 46' 17""",Rabobank
2000,50,José Angel Vidal (ESP),"+ 1h 50' 59""",Kelme–Costa Blanca
2000,51,Erik Dekker (NED),"+ 1h 51' 27""",Rabobank
2000,52,Cédric Vasseur (FRA),"+ 1h 55' 25""",U.S. Postal Service
2000,53,José Vicente Garcia (ESP),"+ 1h 56' 31""",Banesto
2000,54,Laurent Jalabert (FRA),"+ 1h 58' 47""",ONCE–Deutsche Bank
2000,55,Viatcheslav Ekimov (RUS),"+ 1h 59' 57""",U.S. Postal Service
2000,56,Marc Lotz (NED),"+ 2h 02' 04""",Rabobank
2000,57,José Luis Arrieta (ESP),"+ 2h 04' 21""",Banesto
2000,58,François Simon (FRA),"+ 2h 10' 08""",Bonjour
2000,59,Ermanno Brignoli (ITA),"+ 2h 10' 28""",Mercatone Uno–Albacom
2000,60,Jens Voigt (GER),"+ 2h 10' 37""",Crédit Agricole
2000,61,Erik Zabel (GER),"+ 2h 11' 07""",Team Telekom
2000,62,David Millar (GBR),"+ 2h 13' 03""",Cofidis
2000,63,Antonio Tauler (ESP),"+ 2h 16' 05""",Kelme–Costa Blanca
2000,64,Fabio Sacchi (ITA),"+ 2h 17' 40""",Team Polti
2000,65,George Hincapie (USA),"+ 2h 20' 31""",U.S. Postal Service
2000,66,Christophe Agnolutto (FRA),"+ 2h 23' 07""",AG2R Prévoyance
2000,67,Massimiliano Mori (ITA),"+ 2h 24' 05""",Saeco Macchine per Caffè–Valli & Valli
2000,68,Markus Zberg (SUI),"+ 2h 26' 40""",Rabobank
2000,69,Pascal Chanteur (FRA),"+ 2h 27' 19""",AG2R Prévoyance
2000,70,Riccardo Forconi (ITA),"+ 2h 28' 14""",Mercatone Uno–Albacom
2000,71,Walter Bénéteau (FRA),"+ 2h 28' 17""",Bonjour
2000,72,Salvatore Commesso (ITA),"+ 2h 28' 48""",Saeco Macchine per Caffè–Valli & Valli
2000,73,Massimo Podenzana (ITA),"+ 2h 29' 17""",Mercatone Uno–Albacom
2000,74,Jacky Durand (FRA),"+ 2h 31' 48""",Lotto–Adecco
2000,75,David Moncoutié (FRA),"+ 2h 32' 26""",Cofidis
2000,76,Xavier Jan (FRA),"+ 2h 33' 55""",Française des Jeux
2000,77,Koos Moerenhout (NED),"+ 2h 34' 31""",Farm Frites
2000,78,Michel Lafis (SWE),"+ 2h 35' 52""",Farm Frites
2000,79,Paul Van Hyfte (BEL),"+ 2h 36' 03""",Lotto–Adecco
2000,80,Stefano Zanini (ITA),"+ 2h 36' 07""",Mapei–Quick-Step
2000,81,Gilles Maignan (FRA),"+ 2h 36' 12""",AG2R Prévoyance
2000,82,Romans Vainsteins (LAT),"+ 2h 38' 10""",Vini Caldirola–Sidermec
2000,83,David Delrieu (FRA),"+ 2h 38' 10""",AG2R Prévoyance
2000,84,Alberto Elli (ITA),"+ 2h 40' 12""",Team Telekom
2000,85,Pavel Padrnos (CZE),"+ 2h 40' 19""",Saeco Macchine per Caffè–Valli & Valli
2000,86,Fred Rodriguez (USA),"+ 2h 40' 19""",Mapei–Quick-Step
2000,87,Orlando Rodrigues (POR),"+ 2h 40' 31""",Banesto
2000,88,Sebastien Demarbaix (BEL),"+ 2h 41' 19""",Lotto–Adecco
2000,89,Steffen Kjærgaard (NOR),"+ 2h 44' 01""",U.S. Postal Service
2000,90,Anthony Morin (FRA),"+ 2h 44' 02""",Crédit Agricole
2000,91,Glenn Magnusson (SWE),"+ 2h 45' 46""",Farm Frites
2000,92,Benoît Joachim (LUX),"+ 2h 45' 56""",U.S. Postal Service
2000,93,Arvis Piziks (LAT),"+ 2h 46' 06""",Memory Card–Jack & Jones
2000,94,Mirko Crepaldi (ITA),"+ 2h 48' 30""",Team Polti
2000,95,Christophe Mengin (FRA),"+ 2h 50' 21""",Française des Jeux
2000,96,Mauro Radaelli (ITA),"+ 2h 51' 01""",Vini Caldirola–Sidermec
2000,97,Jaime Hernández (SPA),"+ 2h 51' 14""",Festina
2000,98,Emmanuel Magnien (FRA),"+ 2h 51' 21""",Française des Jeux
2000,99,Nicolai Bo Larsen (DEN),"+ 2h 52' 14""",Memory Card–Jack & Jones
2000,100,Frank Høj (DEN),"+ 2h 52' 46""",Française des Jeux
2000,101,Thierry Marichal (BEL),"+ 2h 52' 52""",Lotto–Adecco
2000,102,Massimo Apollonio (ITA),"+ 2h 54' 00""",Vini Caldirola–Sidermec
2000,103,Max van Heeswijk (NED),"+ 2h 54' 50""",Mapei–Quick-Step
2000,104,Gian Matteo Fagnini (ITA),"+ 2h 55' 45""",Team Telekom
2000,105,Andreas Klier (GER),"+ 2h 58' 04""",Farm Frites
2000,106,Grzegorz Gwiazdowski (POL),"+ 2h 58' 05""",Française des Jeux
2000,107,Benoit Salmon (FRA),"+ 2h 59' 59""",AG2R Prévoyance
2000,108,Martin Rittsel (SWE),"+ 3h 00' 47""",Memory Card–Jack & Jones
2000,109,Servais Knaven (NED),"+ 3h 02' 49""",Farm Frites
2000,110,Frankie Andreu (USA),"+ 3h 02' 51""",U.S. Postal Service
2000,111,Pascal Deramé (FRA),"+ 3h 03' 30""",Bonjour
2000,112,Pascal Lino (FRA),"+ 3h 03' 38""",Festina
2000,113,Robbie McEwen (AUS),"+ 3h 04' 28""",Farm Frites
2000,114,Simone Borgheresi (ITA),"+ 3h 04' 28""",Mercatone Uno–Albacom
2000,115,Bart Voskamp (NED),"+ 3h 05' 17""",Team Polti
2000,116,Frédérick Guesdon (FRA),"+ 3h 07' 16""",Française des Jeux
2000,117,Tristan Hoffman (NED),"+ 3h 07' 17""",Memory Card–Jack & Jones
2000,118,Geert Van Bondt (BEL),"+ 3h 07' 39""",Farm Frites
2000,119,Allan Johansen (DEN),"+ 3h 08' 22""",Memory Card–Jack & Jones
2000,120,Anthony Langella (FRA),"+ 3h 13' 40""",Crédit Agricole
2000,121,Serge Baguet (BEL),"+ 3h 17' 15""",Lotto–Adecco
2000,122,Franck Bouyer (FRA),"+ 3h 18' 37""",Bonjour
2000,123,Magnus Bäckstedt (SWE),"+ 3h 20' 27""",Crédit Agricole
2000,124,Francisco Leon (ESP),"+ 3h 22' 52""",Kelme–Costa Blanca
2000,125,Sébastien Hinault (FRA),"+ 3h 41' 02""",Crédit Agricole
2000,126,Damien Nazon (FRA),"+ 3h 43' 13""",Bonjour
2000,127,Olivier Perraudeau (FRA),"+ 3h 46' 37""",Bonjour
2001,DSQ,Lance Armstrong (USA)[a],"86h 17' 28""",U.S. Postal Service
2001,2,Jan Ullrich (GER),"+ 6' 44""",Team Telekom
2001,3,Joseba Beloki (ESP),"+ 9' 05""",ONCE–Eroski
2001,4,Andrei Kivilev (KAZ),"+ 9' 53""",Cofidis
2001,5,Igor González (ESP),"+ 13' 28""",ONCE–Eroski
2001,6,François Simon (FRA),"+ 17' 22""",Bonjour
2001,7,Óscar Sevilla (ESP),"+ 18' 30""",Kelme–Costa Blanca
2001,8,Santiago Botero (COL),"+ 20' 55""",Kelme–Costa Blanca
2001,9,Marcos Antonio Serrano (ESP),"+ 21' 45""",ONCE–Eroski
2001,10,Michael Boogerd (NED),"+ 22' 38""",Rabobank
2001,11,Didier Rous (FRA),"+ 24' 22""",Bonjour
2001,12,Íñigo Chaurreau (ESP),"+ 28' 09""",Euskaltel–Euskadi
2001,13,Francisco Mancebo (ESP),"+ 28' 33""",iBanesto.com
2001,14,Stefano Garzelli (ITA),"+ 29' 00""",Mapei–Quick-Step
2001,15,Roberto Heras (ESP),"+ 30' 44""",U.S. Postal Service
2001,16,Alexander Vinokourov (KAZ),"+ 33' 55""",Team Telekom
2001,17,Alexander Bocharov (RUS),"+ 41' 15""",AG2R Prévoyance
2001,18,Bobby Julich (USA),"+ 48' 04""",Crédit Agricole
2001,19,Laurent Jalabert (FRA),"+ 50' 06""",CSC–Tiscali
2001,20,Carlos Sastre (ESP),"+ 50' 20""",ONCE–Eroski
2001,21,Tomasz Brożyna (POL),"+ 53' 35""",iBanesto.com
2001,22,Axel Merckx (BEL),"+ 55' 29""",Domo–Farm Frites–Latexco
2001,23,Laurent Brochard (FRA),"+ 56' 01""",Jean Delatour
2001,24,Wladimir Belli (ITA),"+ 57' 29""",Fassa Bortolo
2001,25,José Enrique Gutiérrez (ESP),"+ 59' 17""",Kelme–Costa Blanca
2001,26,Andreas Klöden (GER),"+ 59' 53""",Team Telekom
2001,27,Mario Aerts (BEL),"+ 1h 00' 06""",Lotto–Adecco
2001,28,Roberto Laiseka (ESP),"+ 1h 02' 15""",Euskaltel–Euskadi
2001,29,Jörg Jaksche (GER),"+ 1h 06' 02""",ONCE–Eroski
2001,30,Daniel Atienza (ESP),"+ 1h 07' 10""",Cofidis
2001,31,Stéphane Goubert (FRA),"+ 1h 08' 40""",Jean Delatour
2001,32,Luis Perez (ESP),"+ 1h 11' 07""",Festina
2001,33,Michele Bartoli (ITA),"+ 1h 13' 05""",Mapei–Quick-Step
2001,34,David Etxebarria (ESP),"+ 1h 15' 57""",Euskaltel–Euskadi
2001,35,Benoit Salmon (FRA),"+ 1h 17' 07""",AG2R Prévoyance
2001,36,Stive Vermaut (BEL),"+ 1h 20' 13""",Lotto–Adecco
2001,37,Felix Manuel Garcia (ESP),"+ 1h 20' 33""",Festina
2001,38,José-Luis Rubiera (ESP),"+ 1h 21' 48""",U.S. Postal Service
2001,39,Giuseppe Guerini (ITA),"+ 1h 22' 01""",Team Telekom
2001,40,Stéphane Heulot (FRA),"+ 1h 22' 02""",BigMat–Auber 93
2001,41,Javier Pascual Rodríguez (ESP),"+ 1h 22' 37""",iBanesto.com
